Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay,commodity,food_supply_stage,packaging_material,days_to_expiry,temp_class,hour_of_day,day_of_week,month,temperature_celsius,synthetic_loss_percentage,loss_risk
2026-06-05 09:06:19.049352959,Truck_9,-30.72384706532664,-80.03135991803572,455.1497629806044,In Transit,79.4621105294379,Heavy,56.187232565409126,300.0306743104134,1.0901669990821792,Unknown,73.89104262661134,206.47098715202677,0.9946651924485024,Sugar cane,Storage (post-harvest collection),paper,2,ambient,9,4,6,18.881283192341577,8.792608511642095,0
2031-09-19 13:45:58.050246209,Truck_7,8.487312866611248,-121.70681160312,388.6690512489592,Delayed,71.86444899601814,Clear,23.251613879273943,374.3231320069205,2.7139305367317537,Mechanical Failure,97.25008816329326,287.87975528188883,1.0275791777092402,Sorghum,Storage (post-harvest collection),plastic,14,ambient,13,4,9,16.590562802642665,13.356165834292437,1
2034-12-05 01:02:35.009924591,Truck_1,-17.966831535723998,-168.6408523556369,160.7808754960024,Delivered,69.97550891247559,Detour,36.88868710153088,257.19307547838383,7.024549646219999,Traffic,66.67003982304784,171.00285504694708,0.0,Barley,Transport,plastic,24,ambient,1,1,12,15.54831224244555,3.0564734066288883,0
2042-04-29 10:30:02.441870928,Truck_1,-6.984299932365595,57.6651119591864,454.47011262533334,Delivered,69.18699869868941,Heavy,54.98033039136143,312.9882889287084,2.070913377110908,Traffic,68.06472153346816,134.2788928616696,1.0017620244985412,Wheat,Storage (post-harvest collection),paper,20,ambient,10,1,4,12.781613510416468,12.217286550272362,0
2052-01-26 05:35:39.395365834,Truck_6,2.8255834148722117,-11.368933649499738,201.10772244015223,Delayed,62.18802469311079,Heavy,11.167845132840409,257.4308666610839,3.993198101809416,Unknown,97.630355774385,128.68522745671075,0.9961805925455084,Sorghum,Transport,cardboard,1,ambient,5,4,1,25.73700635175138,12.520291366947214,0
2046-01-22 20:54:55.252056002,Truck_9,-37.104760040264885,56.9609933348573,127.2858143539006,Delayed,54.7369788524687,Detour,13.002721124458215,455.0489922637743,8.877851845121116,Mechanical Failure,78.83523154496685,301.6920851682993,1.009716902234672,"Other fruits, n.e.c.",Processing,plastic,29,ambient,20,0,1,14.059082807429832,17.59329895734382,1
2051-02-12 06:16:58.667564392,Truck_9,-85.3259890768481,163.88050351677313,433.7529822551904,Delivered,71.53784774593731,Clear,40.95707809090581,489.16272256463526,6.8501248370955805,Traffic,67.36091385465238,269.9496520990095,0.0,Maize (corn),Storage (post-harvest collection),cardboard,21,ambient,6,6,2,20.47234831635895,9.319843961596826,0
2031-05-13 16:28:05.335758209,Truck_1,-90.0,-36.63924735602365,134.03857887082577,Delivered,63.66471362253286,Clear,56.3146516356849,141.95343236882238,1.1246201254630046,Weather,72.35097668045856,126.62545291763988,0.0,Maize (corn),Storage (post-harvest collection),glass,25,ambient,16,1,5,23.37807805880319,5.75344386614969,0
2031-09-10 20:33:51.628120273,Truck_1,62.58593078744052,-106.95863921864314,193.1588196691582,In Transit,70.83587432575014,Heavy,34.28057897817605,128.7931446284349,2.038373417601336,Traffic,97.84638920883064,221.92263642367067,0.9903978845107092,"Other citrus fruit, n.e.c.",Storage,glass,20,ambient,20,2,9,11.868543061171382,7.117088881807463,0
2027-04-19 01:31:56.494235098,Truck_7,86.5229601221368,-110.16925680512402,301.38315826164063,In Transit,75.22455984887785,Clear,20.46967699076882,154.44504779629844,5.978390844795048,Mechanical Failure,67.47341386665867,151.670874312299,0.0,Wheat,Processing,cardboard,15,ambient,1,0,4,13.505524724630485,9.976397574313506,0
2044-02-07 10:19:14.069359779,Truck_2,13.690713672350943,54.961986737966626,417.6864046622109,In Transit,60.99325527095423,Heavy,54.22407286570675,298.91858934592375,4.022175952355214,Traffic,74.61768731546124,158.40509286114562,0.9920939798372276,Wheat,Processing,foil,29,ambient,10,6,2,12.856068961635293,6.622598201846405,0
2032-08-07 07:40:00.554196596,Truck_7,38.27383102080286,-145.65517938505883,99.36844895125246,Delayed,54.74993913087033,Detour,18.347423193428988,361.5789069997654,9.932318950451617,Traffic,75.32204814344156,157.98270905729123,1.0113162273238532,Rice,Storage,glass,18,ambient,7,5,8,17.23989115156976,8.670556577551686,0
2041-05-17 00:27:42.119182587,Truck_4,23.301660248651487,91.80264550623528,143.590920330706,Delivered,58.715669939376056,Clear,34.95165022140184,440.4084062483883,9.961035629744158,Mechanical Failure,88.87308753281219,138.25750256576896,0.0086505192363327,Wheat,Storage (post-harvest collection),paper,19,ambient,0,4,5,14.116246257285862,5.037608054930707,0
2029-08-04 10:41:16.459411979,Truck_7,-67.55805059252641,12.458836302559416,391.51249336560886,Delayed,67.77531287310758,Detour,37.829855868598685,322.4702755508884,3.938618946831508,Unknown,59.99305776818469,282.31076670605273,0.9948509882931756,Maize (corn),Storage (post-harvest collection),foil,6,ambient,10,5,8,21.20247718424133,17.084568024635338,1
2041-06-24 02:58:04.401373267,Truck_3,-19.425347351560735,75.67674637045313,313.6052600603952,Delayed,63.29293607233538,Detour,41.1389771822456,113.58632582652594,8.026982434486051,Unknown,69.32116863730232,144.69532125884228,1.009300892488327,Millet,Storage (post-harvest collection),cardboard,3,ambient,2,0,6,17.573751334940287,11.352583616135757,0
2036-11-13 18:17:24.890435398,Truck_8,42.93003208479878,149.9406844608202,491.3542995915154,Delayed,58.77542367453943,Clear,51.694052353267466,233.4175744927507,9.987005180122784,Weather,89.56874213867103,201.39921530998717,1.0002476689762585,Sorghum,Storage (post-harvest collection),foil,9,ambient,18,3,11,11.894967609397249,18.88865803334492,1
2036-01-15 17:52:05.574546278,Truck_1,-61.385094803841575,94.08053240972168,286.4642204061631,Delivered,61.14296345039123,Clear,41.76435425910981,360.5408007162781,9.076614881522689,Mechanical Failure,78.0716791228747,253.1891246742362,0.0,Wheat,Transport,cardboard,1,ambient,17,1,1,15.927652402444712,8.895390247777481,0
2043-02-19 00:02:24.299218059,Truck_1,26.91337718558384,-3.2111778852499664,469.01657104222215,In Transit,65.37520275819804,Clear,18.972176292015824,478.89793570445266,1.9644669283440723,Mechanical Failure,97.55551626249576,205.5539596346793,0.0096785587867557,Sorghum,Storage (post-harvest collection),plastic,29,ambient,0,3,2,20.296352692013222,7.336044191580896,0
2050-04-07 02:08:31.981347442,Truck_2,-14.261274984031305,-115.16434354258485,457.8789823743086,In Transit,78.80450801003164,Heavy,21.226263164540537,324.83979114861677,6.992465487529975,Unknown,86.86350667193095,271.48635819841314,1.0017747661304506,Wheat,Storage (post-harvest collection),cardboard,20,ambient,2,3,4,21.36957452345769,14.481060539406544,1
2045-04-17 17:53:30.401292086,Truck_1,67.24328720657462,-131.69114281577467,449.7434782053861,In Transit,63.5653022059558,Heavy,37.80754611682814,200.82589929694456,0.9834731683645136,Weather,73.74427784633754,198.87097380879396,0.9847881678558338,Wheat,Storage (post-harvest collection),cardboard,5,ambient,17,0,4,13.667155927011986,13.958974553161015,1
2026-09-07 00:45:44.236094400,Truck_3,87.40313286669277,-116.64149257872128,393.743202460922,Delivered,73.62009571230143,Detour,30.919070535550095,269.84355238025717,1.0054880004106177,Mechanical Failure,92.65367341187516,264.82704942991217,0.0,Maize (corn),Storage,paper,20,ambient,0,0,9,17.1535364791526,0.5572929706190948,0
2034-01-15 05:19:51.852741539,Truck_1,-12.44477825068758,81.45282634550345,454.30118699577696,Delivered,76.5513300281314,Clear,30.742725306488584,232.2636585125044,7.991916683761899,Traffic,92.4438026603498,127.69587782233592,0.00304838747048,Maize (corn),Storage (post-harvest collection),plastic,11,ambient,5,6,1,23.179014405450623,9.632579517420584,0
2035-09-03 10:58:19.667971313,Truck_3,-22.606196148306474,29.515151932255453,269.8446187748551,In Transit,55.127652229357786,Clear,43.85414924535854,108.92219895016784,3.01645358550432,Weather,91.68895167431744,281.74372316770393,0.0313352338165139,"Onions and shallots, green",Packing,cardboard,16,ambient,10,0,9,12.782490914326722,8.14578535452636,0
2038-12-25 17:31:04.155529380,Truck_1,-59.1687875900662,57.471556051768566,247.1963139204676,Delivered,72.47410541411236,Clear,59.93431754022403,420.7538799672308,1.9117533286475696,Traffic,68.20737496504219,247.0871560968226,0.0,Millet,Storage (post-harvest collection),paper,10,ambient,17,5,12,23.03442250657113,7.587245668690294,0
